"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.03.2026","19,53","19,63","19,82","19,26","4,93M","-0,81%"
"05.03.2026","19,69","20,00","20,04","19,65","3,72M","-1,55%"
"04.03.2026","20,00","19,88","20,12","19,50","4,95M","0,60%"
"03.03.2026","19,88","20,19","20,46","19,67","7,29M","-3,54%"
"02.03.2026","20,61","20,45","20,65","20,31","3,70M","0,24%"
"27.02.2026","20,56","20,90","20,90","20,50","5,77M","-1,20%"
"26.02.2026","20,81","20,67","20,99","20,60","5,37M","0,68%"
"25.02.2026","20,67","20,35","20,67","20,26","4,19M","1,72%"
"24.02.2026","20,32","20,10","20,72","20,01","7,87M","1,60%"
"23.02.2026","20,00","20,11","20,21","19,92","6,47M","-0,50%"
"20.02.2026","20,10","20,10","20,14","19,74","6,32M","-0,35%"
"19.02.2026","20,17","20,22","20,48","20,02","5,17M","-0,20%"
"18.02.2026","20,21","20,16","20,64","20,00","4,84M","-0,88%"
"13.02.2026","20,39","20,10","20,49","20,09","5,57M","-0,68%"
"12.02.2026","20,53","20,86","20,86","20,05","10,28M","-2,33%"
"11.02.2026","21,02","19,80","21,25","19,66","15,84M","6,00%"
"10.02.2026","19,83","19,82","20,03","19,69","6,04M","0,05%"
"09.02.2026","19,82","19,35","19,97","19,35","9,58M","2,69%"
"06.02.2026","19,30","19,43","19,53","19,23","5,77M","-0,67%"
"05.02.2026","19,43","19,32","19,63","19,28","4,66M","0,57%"
"04.02.2026","19,32","19,22","19,45","19,06","5,03M","0,36%"
