"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.03.2026","23,73","23,61","24,00","23,51","11,68M","-1,08%"
"05.03.2026","23,99","24,23","24,80","23,60","14,31M","-2,20%"
"04.03.2026","24,53","25,25","25,36","24,12","18,37M","2,51%"
"03.03.2026","23,93","23,82","24,42","23,40","12,94M","-2,25%"
"02.03.2026","24,48","24,75","24,94","24,19","7,88M","-2,39%"
"27.02.2026","25,08","25,40","25,94","24,94","8,89M","-2,22%"
"26.02.2026","25,65","25,77","25,88","25,26","8,65M","0,83%"
"25.02.2026","25,44","26,02","26,32","25,26","6,65M","-1,97%"
"24.02.2026","25,95","26,19","26,21","25,45","8,36M","-0,19%"
"23.02.2026","26,00","26,09","26,31","25,74","4,99M","-1,85%"
"20.02.2026","26,49","26,14","26,65","25,86","8,33M","0,30%"
"19.02.2026","26,41","26,08","27,03","25,73","6,71M","1,89%"
"18.02.2026","25,92","25,77","25,97","25,54","7,20M","-0,12%"
"13.02.2026","25,95","25,71","26,56","25,52","10,64M","-1,89%"
"12.02.2026","26,45","26,78","26,78","25,81","13,11M","-2,04%"
"11.02.2026","27,00","26,90","27,42","26,63","9,09M","1,12%"
"10.02.2026","26,70","26,84","26,92","26,43","10,45M","0,23%"
"09.02.2026","26,64","26,79","27,18","26,06","11,49M","-0,04%"
"06.02.2026","26,65","26,42","26,76","25,87","9,65M","1,45%"
"05.02.2026","26,27","25,79","26,78","25,67","11,13M","2,66%"
"04.02.2026","25,59","26,68","26,68","24,87","8,12M","-4,19%"
"03.02.2026","26,71","25,28","26,71","25,20","22,41M","5,99%"
"02.02.2026","25,20","24,70","25,20","24,39","9,90M","2,86%"
"30.01.2026","24,50","24,45","24,52","23,95","9,85M","0,08%"
"29.01.2026","24,48","24,90","24,93","24,08","7,73M","-1,25%"
"28.01.2026","24,79","24,95","25,09","24,34","12,58M","-0,52%"
"27.01.2026","24,92","24,79","25,09","24,55","8,79M","1,80%"
"26.01.2026","24,48","24,99","25,05","24,27","8,39M","-1,09%"
"23.01.2026","24,75","24,80","24,97","24,40","12,41M","0,41%"
"22.01.2026","24,65","25,77","26,25","24,65","22,12M","-3,86%"
"21.01.2026","25,64","25,30","26,15","25,02","9,80M","2,72%"
"20.01.2026","24,96","24,40","25,00","24,25","7,45M","1,46%"
"19.01.2026","24,60","25,19","25,19","24,51","3,75M","-1,99%"
"16.01.2026","25,10","24,63","25,27","24,44","7,95M","1,41%"
"15.01.2026","24,75","24,45","24,80","23,98","7,32M","1,85%"
"14.01.2026","24,30","23,75","24,64","23,70","9,28M","2,70%"
"13.01.2026","23,66","23,57","23,78","23,39","8,48M","-0,25%"
"12.01.2026","23,72","23,97","24,07","23,47","7,81M","-1,00%"
"09.01.2026","23,96","24,24","24,39","23,78","9,49M","-1,40%"
"08.01.2026","24,30","24,15","24,78","24,13","7,12M","0,50%"
"07.01.2026","24,18","24,54","24,74","23,77","7,98M","-1,91%"
"06.01.2026","24,65","24,44","24,86","24,24","6,77M","1,65%"
"05.01.2026","24,25","23,68","24,53","23,64","6,02M","2,36%"
"02.01.2026","23,69","23,79","24,10","23,65","6,57M","1,02%"
"30.12.2025","23,45","23,49","23,60","23,20","4,32M","0,47%"
"29.12.2025","23,34","22,92","23,38","22,56","8,44M","1,30%"
"26.12.2025","23,04","22,83","23,20","22,76","2,85M","0,48%"
"23.12.2025","22,93","23,07","23,28","22,63","4,32M","0,34%"
"22.12.2025","22,85","22,54","22,90","22,54","4,86M","0,91%"
"19.12.2025","22,65","22,62","22,75","22,22","13,80M","0,13%"
"18.12.2025","22,62","22,73","23,07","22,58","8,29M","-1,20%"
"17.12.2025","22,89","23,02","23,16","22,26","11,76M","-0,55%"
"16.12.2025","23,02","23,65","23,78","22,89","12,07M","-4,94%"
"15.12.2025","24,22","24,73","24,95","24,22","9,70M","-1,20%"
"12.12.2025","24,51","24,20","24,56","24,07","6,71M","1,34%"
"11.12.2025","24,19","23,31","24,27","23,18","6,65M","3,22%"
"10.12.2025","23,43","23,25","23,59","22,89","5,01M","1,14%"
"09.12.2025","23,17","22,58","23,25","22,25","6,80M","1,37%"
"08.12.2025","22,85","22,76","23,13","22,34","11,29M","2,60%"
"05.12.2025","22,27","23,49","23,51","22,16","13,80M","-4,98%"
"04.12.2025","23,44","23,77","23,91","23,07","12,42M","0,08%"
"03.12.2025","23,42","23,62","23,70","23,26","11,87M","-1,03%"
"02.12.2025","23,67","22,89","23,67","22,89","9,19M","3,62%"
"01.12.2025","22,84","23,33","23,33","22,69","6,85M","-2,29%"
"28.11.2025","23,37","22,93","23,37","22,93","10,97M","1,48%"
"27.11.2025","23,03","22,89","23,27","22,52","5,10M","0,34%"
"26.11.2025","22,96","22,38","23,05","22,31","12,31M","2,83%"
"25.11.2025","22,32","22,70","22,78","21,89","9,65M","-1,16%"
"24.11.2025","22,59","22,23","22,59","22,06","19,38M","1,40%"
