"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.03.2026","45,83","46,40","47,29","45,22","9,68M","-2,28%"
"05.03.2026","46,90","49,40","49,40","46,59","12,46M","-6,87%"
"04.03.2026","50,36","49,98","50,70","49,44","6,29M","2,99%"
"03.03.2026","48,90","49,11","50,18","47,35","16,01M","-5,47%"
"02.03.2026","51,73","49,82","52,25","48,90","14,03M","1,91%"
"27.02.2026","50,76","50,55","52,38","50,55","16,57M","0,61%"
"26.02.2026","50,45","51,42","51,75","50,44","10,54M","-0,67%"
"25.02.2026","50,79","52,17","52,37","50,47","5,02M","-2,42%"
"24.02.2026","52,05","51,54","52,37","51,40","6,25M","1,46%"
"23.02.2026","51,30","52,13","52,60","50,88","4,99M","-2,90%"
"20.02.2026","52,83","51,72","53,00","51,67","4,73M","0,76%"
"19.02.2026","52,43","51,47","52,43","51,10","3,66M","2,20%"
"18.02.2026","51,30","52,45","52,45","50,78","7,43M","-0,27%"
"13.02.2026","51,44","50,31","51,66","49,94","6,38M","-0,31%"
"12.02.2026","51,60","50,66","51,88","50,14","10,26M","0,94%"
"11.02.2026","51,12","50,95","51,58","49,71","8,84M","1,25%"
"10.02.2026","50,49","50,00","51,24","49,99","4,23M","-0,18%"
"09.02.2026","50,58","51,27","51,90","50,35","7,11M","-0,82%"
"06.02.2026","51,00","49,99","51,35","49,51","9,91M","1,86%"
"05.02.2026","50,07","50,00","51,58","49,99","9,05M","0,02%"
"04.02.2026","50,06","50,58","50,67","49,27","20,37M","-1,16%"
"03.02.2026","50,65","49,90","51,48","49,85","9,66M","2,18%"
"02.02.2026","49,57","48,85","49,66","48,38","6,39M","2,44%"
"30.01.2026","48,39","48,02","49,57","47,91","11,09M","0,54%"
"29.01.2026","48,13","49,52","49,66","46,92","9,14M","-1,74%"
"28.01.2026","48,98","48,16","48,98","47,74","8,63M","2,68%"
"27.01.2026","47,70","46,50","48,06","46,40","12,21M","4,40%"
"26.01.2026","45,69","44,93","45,89","44,24","8,22M","2,10%"
"23.01.2026","44,75","44,10","44,96","43,34","7,72M","1,98%"
"22.01.2026","43,88","43,19","44,89","42,84","12,49M","2,96%"
"21.01.2026","42,62","41,40","42,67","41,21","10,46M","4,64%"
"20.01.2026","40,73","40,25","41,14","40,21","9,13M","-0,20%"
"19.01.2026","40,81","40,68","41,10","40,13","6,31M","0,27%"
"16.01.2026","40,70","41,98","42,11","40,11","11,61M","-3,05%"
"15.01.2026","41,98","42,41","42,50","41,71","6,92M","0,14%"
"14.01.2026","41,92","42,34","42,60","41,13","8,76M","0,12%"
"13.01.2026","41,87","42,32","42,78","41,41","6,54M","-2,40%"
"12.01.2026","42,90","43,06","43,34","41,96","7,57M","-0,72%"
"09.01.2026","43,21","43,68","44,41","42,93","6,38M","-0,83%"
"08.01.2026","43,57","43,96","44,70","43,35","6,79M","-0,89%"
"07.01.2026","43,96","44,09","44,40","43,20","8,70M","-0,81%"
"06.01.2026","44,32","44,11","45,27","43,47","9,87M","1,33%"
"05.01.2026","43,74","43,54","44,17","43,02","7,87M","0,69%"
"02.01.2026","43,44","43,70","44,29","43,28","5,34M","-0,30%"
"30.12.2025","43,57","44,59","45,10","43,37","7,14M","0,60%"
"29.12.2025","43,31","43,07","43,47","42,66","5,74M","0,20%"
"26.12.2025","43,22","42,68","43,37","42,63","4,07M","-0,02%"
"23.12.2025","43,23","41,99","43,39","41,84","6,52M","-0,45%"
"22.12.2025","43,43","43,50","43,73","43,08","8,84M","-0,80%"
"19.12.2025","43,78","43,30","44,40","42,79","8,10M","1,06%"
"18.12.2025","43,32","42,97","43,59","42,55","6,68M","0,52%"
"17.12.2025","43,09","43,87","44,12","42,07","14,49M","-3,73%"
"16.12.2025","44,76","46,49","46,68","44,47","12,10M","-5,15%"
"15.12.2025","47,20","47,33","47,72","46,97","4,28M","0,57%"
"12.12.2025","46,93","46,29","47,53","46,29","6,68M","1,58%"
"11.12.2025","46,20","45,46","47,14","45,21","6,28M","0,45%"
"10.12.2025","45,99","45,36","46,45","44,87","8,33M","2,20%"
"09.12.2025","45,00","45,35","46,01","44,19","9,39M","-2,22%"
"08.12.2025","46,02","47,50","47,50","45,01","15,66M","0,20%"
"05.12.2025","45,93","49,59","49,73","45,35","23,51M","-7,40%"
"04.12.2025","49,60","47,71","49,85","47,47","19,15M","5,04%"
