"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.03.2026","54,92","55,74","56,08","54,51","5,01M","-1,58%"
"05.03.2026","55,80","56,64","57,14","55,54","5,00M","-1,24%"
"04.03.2026","56,50","57,21","57,40","55,59","5,63M","-1,34%"
"03.03.2026","57,27","57,52","58,42","56,45","9,15M","-1,36%"
"02.03.2026","58,06","58,30","58,68","57,41","5,09M","0,10%"
"27.02.2026","58,00","58,78","59,12","57,91","5,31M","-1,66%"
"26.02.2026","58,98","58,91","59,65","58,37","6,99M","0,14%"
"25.02.2026","58,90","58,72","59,32","58,07","11,43M","0,55%"
"24.02.2026","58,58","57,28","58,85","57,00","8,66M","2,77%"
"23.02.2026","57,00","56,86","57,00","56,22","4,53M","0,25%"
"20.02.2026","56,86","57,13","57,13","56,04","5,82M","-0,47%"
"19.02.2026","57,13","57,14","57,83","56,89","3,90M","-0,12%"
"18.02.2026","57,20","58,44","58,44","56,77","5,73M","-1,95%"
"13.02.2026","58,34","58,20","58,82","57,32","12,83M","0,15%"
"12.02.2026","58,25","58,10","58,68","56,83","11,35M","0,55%"
"11.02.2026","57,93","53,00","57,94","52,90","27,71M","13,32%"
"10.02.2026","51,12","51,40","52,08","51,05","3,51M","-0,43%"
"09.02.2026","51,34","50,15","51,34","50,14","5,55M","2,27%"
"06.02.2026","50,20","50,52","51,02","50,01","6,22M","-0,46%"
"05.02.2026","50,43","49,98","50,90","49,64","8,13M","1,67%"
"04.02.2026","49,60","49,07","49,73","48,35","8,21M","1,04%"
"03.02.2026","49,09","48,98","49,61","48,77","7,58M","0,76%"
"02.02.2026","48,72","49,42","49,62","48,55","5,90M","-1,24%"
"30.01.2026","49,33","49,39","50,73","48,92","12,10M","-0,06%"
"29.01.2026","49,36","51,80","51,80","49,24","9,29M","-4,64%"
"28.01.2026","51,76","51,45","52,09","50,97","5,16M","0,94%"
"27.01.2026","51,28","52,04","52,45","50,91","6,55M","-0,75%"
"26.01.2026","51,67","52,13","52,45","51,60","5,08M","-1,11%"
"23.01.2026","52,25","52,20","52,70","51,15","9,27M","0,11%"
"22.01.2026","52,19","52,33","53,54","51,95","7,24M","-0,02%"
"21.01.2026","52,20","51,54","52,30","51,28","4,96M","1,66%"
"20.01.2026","51,35","52,26","52,26","50,75","2,50M","-0,96%"
"19.01.2026","51,85","51,08","51,93","50,95","6,92M","0,48%"
"16.01.2026","51,60","52,31","52,44","51,02","9,10M","-1,43%"
"15.01.2026","52,35","52,18","52,65","51,74","2,98M","0,35%"
"14.01.2026","52,17","51,58","52,18","51,44","3,11M","1,28%"
"13.01.2026","51,51","51,67","52,13","51,13","3,69M","-1,15%"
"12.01.2026","52,11","50,95","52,22","50,81","3,42M","2,20%"
"09.01.2026","50,99","49,82","51,20","49,55","5,61M","2,86%"
"08.01.2026","49,57","49,84","49,88","49,03","5,84M","-0,74%"
"07.01.2026","49,94","50,16","50,63","49,88","8,36M","-0,58%"
"06.01.2026","50,23","50,56","51,00","49,94","5,15M","-0,40%"
"05.01.2026","50,43","51,94","52,24","50,43","4,95M","-2,78%"
"02.01.2026","51,87","51,41","52,11","51,29","5,57M","0,82%"
"30.12.2025","51,45","51,44","51,67","51,24","4,31M","-0,19%"
"29.12.2025","51,55","51,61","51,85","51,36","3,32M","-0,25%"
"26.12.2025","51,68","51,53","51,85","51,24","2,86M","0,35%"
"23.12.2025","51,50","51,00","51,75","49,94","12,97M","0,59%"
"22.12.2025","51,20","51,20","52,06","50,99","9,46M","-0,23%"
"19.12.2025","51,32","51,29","52,51","51,29","13,23M","-0,41%"
"18.12.2025","51,53","49,08","51,89","48,81","15,10M","5,74%"
"17.12.2025","48,73","47,80","48,78","47,80","9,61M","1,78%"
"16.12.2025","47,88","47,68","48,32","47,47","5,80M","0,43%"
"15.12.2025","47,68","48,20","48,20","47,08","5,70M","-0,71%"
"12.12.2025","48,02","48,45","48,83","47,65","5,82M","-2,93%"
"11.12.2025","49,47","51,28","51,70","48,91","21,57M","-4,26%"
"10.12.2025","51,67","50,55","51,67","50,02","6,37M","2,42%"
"09.12.2025","50,45","50,40","51,72","50,12","8,91M","0,12%"
"08.12.2025","50,39","50,50","50,85","49,91","5,01M","-0,22%"
"05.12.2025","50,50","49,79","51,51","49,51","13,13M","1,94%"
"04.12.2025","49,54","49,10","49,59","48,92","6,69M","1,21%"
"03.12.2025","48,95","48,39","49,04","48,27","5,42M","1,56%"
"02.12.2025","48,20","47,57","48,40","47,54","4,97M","1,52%"
"01.12.2025","47,48","47,59","47,71","47,32","3,70M","-0,21%"
"28.11.2025","47,58","48,19","48,19","47,54","4,28M","-1,29%"
"27.11.2025","48,20","47,77","48,20","47,77","2,16M","0,71%"
"26.11.2025","47,86","47,80","48,48","47,70","6,60M","0,13%"
"25.11.2025","47,80","48,15","48,15","47,44","3,59M","-0,38%"
"24.11.2025","47,98","48,38","48,40","47,78","5,62M","-0,68%"
"21.11.2025","48,31","48,33","48,70","48,10","7,10M","-0,04%"
"19.11.2025","48,33","48,35","49,01","48,30","5,62M","-0,41%"
"18.11.2025","48,53","48,37","48,57","48,10","4,26M","0,06%"
"17.11.2025","48,50","47,36","48,50","47,14","10,50M","2,41%"
"14.11.2025","47,36","47,69","47,93","47,15","5,72M","-0,63%"
"13.11.2025","47,66","48,15","48,37","47,30","6,23M","-0,85%"
"12.11.2025","48,07","46,56","48,22","46,47","10,56M","3,27%"
"11.11.2025","46,55","46,70","46,99","46,49","6,82M","-0,32%"
"10.11.2025","46,70","47,91","47,95","46,48","10,69M","-1,93%"
"07.11.2025","47,62","48,01","48,48","47,35","7,96M","-2,12%"
"06.11.2025","48,65","48,92","49,20","48,24","5,49M","-0,51%"
"05.11.2025","48,90","49,54","49,76","48,82","4,57M","-1,03%"
"04.11.2025","49,41","48,55","49,68","48,47","4,52M","1,77%"
"03.11.2025","48,55","48,99","48,99","48,37","3,81M","-0,70%"
"31.10.2025","48,89","48,88","49,09","48,21","4,87M","0,41%"
"30.10.2025","48,69","48,85","49,42","48,69","3,88M","-0,84%"
"29.10.2025","49,10","49,53","49,53","48,81","4,54M","-0,75%"
"28.10.2025","49,47","49,22","49,72","48,87","3,50M","0,73%"
"27.10.2025","49,11","49,20","49,43","48,68","3,24M","0,02%"
"24.10.2025","49,10","48,86","49,45","48,69","4,12M","0,88%"
"23.10.2025","48,67","48,34","48,74","48,21","2,82M","0,93%"
"22.10.2025","48,22","47,44","48,34","47,44","3,65M","1,56%"
"21.10.2025","47,48","47,77","47,85","47,27","3,01M","-0,48%"
"20.10.2025","47,71","47,60","48,00","47,46","3,97M","0,17%"
"17.10.2025","47,63","48,05","48,06","47,50","4,20M","-0,36%"
"16.10.2025","47,80","47,41","47,93","47,25","3,66M","0,36%"
"15.10.2025","47,63","47,99","48,16","47,23","8,16M","-0,75%"
"14.10.2025","47,99","48,10","48,42","47,95","3,93M","-0,46%"
"13.10.2025","48,21","48,34","48,55","48,07","3,71M","0,04%"
"10.10.2025","48,19","47,80","48,79","47,80","5,44M","1,05%"
"09.10.2025","47,69","47,98","48,31","47,52","3,17M","-0,29%"
"08.10.2025","47,83","48,89","49,03","47,81","9,71M","-2,17%"
"07.10.2025","48,89","49,43","50,00","48,87","7,09M","-1,23%"
"06.10.2025","49,50","50,64","50,79","49,31","4,49M","-2,37%"
"03.10.2025","50,70","50,11","51,14","49,86","5,53M","1,20%"
"02.10.2025","50,10","49,87","50,26","49,52","5,31M","0,42%"
"01.10.2025","49,89","49,75","50,40","49,67","2,89M","-0,02%"
"30.09.2025","49,90","49,45","49,90","48,90","7,02M","1,48%"
"29.09.2025","49,17","49,76","49,76","48,70","4,98M","-0,57%"
"26.09.2025","49,45","50,30","50,36","49,41","3,80M","-1,57%"
"25.09.2025","50,24","50,02","50,68","49,69","7,71M","0,58%"
"24.09.2025","49,95","50,26","50,34","49,52","6,21M","-0,36%"
"23.09.2025","50,13","50,56","51,07","50,13","3,43M","-0,44%"
"22.09.2025","50,35","50,55","50,75","50,25","6,87M","-0,30%"
"19.09.2025","50,50","50,91","51,16","50,47","6,51M","-0,45%"
"18.09.2025","50,73","51,02","51,03","50,17","3,92M","-0,33%"
"17.09.2025","50,90","50,75","51,22","50,33","4,71M","0,43%"
"16.09.2025","50,68","50,70","51,15","50,39","3,77M","0,36%"
"15.09.2025","50,50","50,68","50,69","50,21","3,69M","0,14%"
"12.09.2025","50,43","51,45","51,54","50,43","4,18M","-2,17%"
"11.09.2025","51,55","51,12","51,55","50,84","4,43M","1,48%"
"10.09.2025","50,80","51,93","51,93","50,80","5,66M","-2,14%"
"09.09.2025","51,91","51,83","52,40","51,41","4,76M","0,60%"
"08.09.2025","51,60","52,11","52,20","51,32","5,67M","-0,75%"
"05.09.2025","51,99","51,94","52,18","50,87","4,14M","0,62%"
"04.09.2025","51,67","52,07","52,20","51,41","3,84M","-0,58%"
"03.09.2025","51,97","52,45","53,67","51,71","4,17M","-0,55%"
"02.09.2025","52,26","52,50","52,99","52,23","2,15M","-0,55%"
"01.09.2025","52,55","52,59","52,73","51,85","1,85M","0,19%"
"29.08.2025","52,45","52,85","53,23","52,43","4,32M","-0,72%"
"28.08.2025","52,83","53,30","53,30","52,70","3,25M","-0,28%"
"27.08.2025","52,98","52,61","53,06","52,52","2,70M","0,70%"
"26.08.2025","52,61","53,21","53,55","52,61","3,90M","-1,50%"
"25.08.2025","53,41","53,82","53,98","53,29","2,60M","-0,65%"
"22.08.2025","53,76","53,49","53,89","53,02","5,25M","2,79%"
"21.08.2025","52,30","52,49","52,53","52,01","1,90M","-0,36%"
"20.08.2025","52,49","52,91","53,22","52,39","2,60M","-0,98%"
"19.08.2025","53,01","52,33","53,07","52,20","5,42M","0,78%"
"18.08.2025","52,60","53,07","53,47","52,44","6,65M","-1,37%"
"15.08.2025","53,33","53,82","54,67","53,23","5,95M","-1,08%"
"14.08.2025","53,91","53,71","54,07","53,47","1,84M","0,09%"
"13.08.2025","53,86","54,12","54,21","53,62","3,16M","-0,43%"
"12.08.2025","54,09","54,05","54,55","53,60","3,85M","0,02%"
"11.08.2025","54,08","54,35","54,46","53,46","3,46M","-0,92%"
"08.08.2025","54,58","54,18","55,28","53,54","5,47M","0,81%"
"07.08.2025","54,14","52,96","54,80","52,67","10,79M","4,88%"
"06.08.2025","51,62","51,26","51,70","50,77","3,58M","1,28%"
"05.08.2025","50,97","50,98","51,15","50,35","2,03M","0,39%"
"04.08.2025","50,77","52,18","52,18","50,28","5,60M","-1,87%"
"01.08.2025","51,74","52,28","52,60","51,47","6,87M","-0,79%"
"31.07.2025","52,15","52,39","52,82","51,59","5,25M","-0,06%"
"30.07.2025","52,18","51,95","53,10","50,95","8,80M","0,64%"
"29.07.2025","51,85","52,16","52,23","51,70","2,33M","-0,58%"
"28.07.2025","52,15","52,59","52,73","51,97","3,43M","-0,80%"
"25.07.2025","52,57","51,37","52,76","51,37","4,31M","2,08%"
"24.07.2025","51,50","51,66","51,88","51,39","2,36M","-0,48%"
"23.07.2025","51,75","50,98","52,10","50,98","2,64M","0,96%"
"22.07.2025","51,26","51,35","51,52","51,00","4,18M","0,51%"
"21.07.2025","51,00","50,73","51,45","50,56","3,86M","0,77%"
"18.07.2025","50,61","50,24","50,75","50,17","7,22M","0,22%"
"17.07.2025","50,50","50,60","50,97","50,14","3,19M","-0,04%"
"16.07.2025","50,52","50,45","50,65","50,01","4,94M","0,04%"
"15.07.2025","50,50","50,10","50,72","49,75","4,60M","1,10%"
"14.07.2025","49,95","49,84","50,39","49,43","3,61M","0,10%"
"11.07.2025","49,90","49,85","50,10","49,55","3,32M","0,10%"
"10.07.2025","49,85","49,17","50,72","49,15","8,34M","-0,30%"
"09.07.2025","50,00","50,77","50,88","49,81","3,57M","-1,83%"
"08.07.2025","50,93","51,18","51,18","50,69","2,40M","-0,16%"
"07.07.2025","51,01","51,91","51,91","51,01","2,83M","-1,81%"
"04.07.2025","51,95","52,06","52,26","51,70","1,26M","-0,21%"
"03.07.2025","52,06","51,71","52,32","51,40","3,50M","0,68%"
"02.07.2025","51,71","50,74","51,74","50,72","7,07M","1,71%"
"01.07.2025","50,84","51,64","51,66","50,51","3,81M","-0,72%"
"30.06.2025","51,21","51,04","51,39","50,73","6,04M","0,12%"
"27.06.2025","51,15","51,37","51,52","50,82","4,12M","-0,89%"
"26.06.2025","51,61","51,47","52,12","51,44","7,74M","0,23%"
"25.06.2025","51,49","51,63","52,15","51,41","3,99M","-0,69%"
"24.06.2025","51,85","52,07","52,16","51,71","5,67M","0,19%"
"23.06.2025","51,75","51,70","52,08","51,40","4,80M","-0,23%"
"20.06.2025","51,87","52,51","52,97","51,87","5,13M","-1,78%"
"18.06.2025","52,81","52,70","53,20","52,50","3,63M","0,32%"
