date,year,month,cdi_month,ipca,is_projected
2021-01-01,2021,1,0.15,0.25,false
2021-02-01,2021,2,0.13,0.86,false
2021-03-01,2021,3,0.20,0.93,false
2021-04-01,2021,4,0.21,0.31,false
2021-05-01,2021,5,0.27,0.83,false
2021-06-01,2021,6,0.31,0.53,false
2021-07-01,2021,7,0.36,0.96,false
2021-08-01,2021,8,0.43,0.87,false
2021-09-01,2021,9,0.44,1.16,false
2021-10-01,2021,10,0.49,1.25,false
2021-11-01,2021,11,0.59,0.95,false
2021-12-01,2021,12,0.77,0.73,false
2022-01-01,2022,1,0.73,0.54,false
2022-02-01,2022,2,0.76,1.01,false
2022-03-01,2022,3,0.93,1.62,false
2022-04-01,2022,4,0.83,1.06,false
2022-05-01,2022,5,1.03,0.47,false
2022-06-01,2022,6,1.02,0.67,false
2022-07-01,2022,7,1.03,-0.68,false
2022-08-01,2022,8,1.17,-0.36,false
2022-09-01,2022,9,1.07,-0.29,false
2022-10-01,2022,10,1.02,0.59,false
2022-11-01,2022,11,1.02,0.41,false
2022-12-01,2022,12,1.12,0.62,false
2023-01-01,2023,1,1.12,0.53,false
2023-02-01,2023,2,0.92,0.84,false
2023-03-01,2023,3,1.17,0.71,false
2023-04-01,2023,4,0.92,0.61,false
2023-05-01,2023,5,1.12,0.23,false
2023-06-01,2023,6,1.07,-0.08,false
2023-07-01,2023,7,1.07,0.12,false
2023-08-01,2023,8,1.14,0.23,false
2023-09-01,2023,9,0.97,0.26,false
2023-10-01,2023,10,1.00,0.24,false
2023-11-01,2023,11,0.92,0.28,false
2023-12-01,2023,12,0.89,0.56,false
2024-01-01,2024,1,0.97,0.42,false
2024-02-01,2024,2,0.80,0.83,false
2024-03-01,2024,3,0.83,0.16,false
2024-04-01,2024,4,0.89,0.38,false
2024-05-01,2024,5,0.83,0.46,false
2024-06-01,2024,6,0.79,0.21,false
2024-07-01,2024,7,0.91,0.38,false
2024-08-01,2024,8,0.87,-0.02,false
2024-09-01,2024,9,0.84,0.44,false
2024-10-01,2024,10,0.93,0.56,false
2024-11-01,2024,11,0.79,0.56,false
2024-12-01,2024,12,0.93,0.52,false
2025-01-01,2025,1,1.01,0.16,false
2025-02-01,2025,2,0.99,1.31,false
2025-03-01,2025,3,0.96,0.56,false
2025-04-01,2025,4,1.06,0.43,false
2025-05-01,2025,5,1.14,0.26,false
2025-06-01,2025,6,1.10,0.24,false
2025-07-01,2025,7,1.28,0.26,false
2025-08-01,2025,8,1.16,-0.11,false
2025-09-01,2025,9,1.22,0.48,false
2025-10-01,2025,10,1.28,0.09,false
2025-11-01,2025,11,1.05,0.18,false
2025-12-01,2025,12,1.22,0.33,false
2026-01-01,2026,1,1.16,0.55,true
2026-02-01,2026,2,1.00,0.70,false
2026-03-01,2026,3,1.21,0.44,true
2026-04-01,2026,4,0.27,0.30,true
2026-05-01,2026,5,0.27,0.30,true
2026-06-01,2026,6,0.27,0.30,true
2026-07-01,2026,7,0.27,0.30,true
2026-08-01,2026,8,0.27,0.30,true
2026-09-01,2026,9,0.27,0.30,true
2026-10-01,2026,10,0.27,0.30,true
2026-11-01,2026,11,0.27,0.30,true
2026-12-01,2026,12,0.27,0.30,true
