date,open,high,low,close,volume,ticker
2021-01-26,10.01,10.23,9.89,9.91,3000000.0,TIMS3
2021-01-27,9.84,10.22,9.8,10.08,6870000.0,TIMS3
2021-01-28,10.08,10.32,10.01,10.26,4500000.0,TIMS3
2021-01-29,10.18,10.36,10.01,10.07,6370000.0,TIMS3
2021-02-01,10.21,10.21,9.92,10.08,6430000.0,TIMS3
2021-02-02,10.29,10.58,10.27,10.29,7520000.0,TIMS3
2021-02-03,10.45,10.75,10.38,10.66,10070000.0,TIMS3
2021-02-04,10.66,10.75,10.45,10.48,3800000.0,TIMS3
2021-02-05,10.52,10.56,10.44,10.48,2650000.0,TIMS3
2021-02-08,10.51,10.51,10.29,10.41,3260000.0,TIMS3
2021-02-09,10.37,10.46,10.28,10.36,3820000.0,TIMS3
2021-02-10,10.44,10.46,10.17,10.45,5670000.0,TIMS3
2021-02-11,10.46,11.02,10.41,11.02,11170000.0,TIMS3
2021-02-12,11.0,11.07,10.84,10.9,5520000.0,TIMS3
2021-02-17,10.98,10.98,10.71,10.73,4200000.0,TIMS3
2021-02-18,10.71,10.79,10.26,10.33,8000000.0,TIMS3
2021-02-19,10.29,10.44,10.29,10.37,3870000.0,TIMS3
2021-02-22,10.23,10.23,9.94,10.11,7560000.0,TIMS3
2021-02-23,10.2,10.2,9.99,10.01,5830000.0,TIMS3
2021-02-24,10.06,10.14,9.92,10.07,5640000.0,TIMS3
2021-02-25,10.07,10.25,9.89,9.97,4920000.0,TIMS3
2021-02-26,9.97,9.99,9.65,9.69,7090000.0,TIMS3
2021-03-01,9.73,9.85,9.55,9.63,7360000.0,TIMS3
2021-03-02,9.58,9.72,9.27,9.64,7720000.0,TIMS3
2021-03-03,9.58,9.88,9.4,9.73,7850000.0,TIMS3
2021-03-04,9.87,10.09,9.77,9.88,5630000.0,TIMS3
2021-03-05,9.83,10.17,9.69,10.13,5630000.0,TIMS3
2021-03-08,9.91,10.11,9.77,9.83,7900000.0,TIMS3
2021-03-09,9.54,9.86,9.51,9.73,5840000.0,TIMS3
2021-03-10,9.79,9.79,9.58,9.7,8950000.0,TIMS3
2021-03-11,9.7,9.91,9.7,9.81,6090000.0,TIMS3
2021-03-12,9.67,9.98,9.67,9.89,3650000.0,TIMS3
2021-03-15,9.83,10.06,9.83,9.98,2450000.0,TIMS3
2021-03-16,10.04,10.09,9.91,9.98,2950000.0,TIMS3
2021-03-17,9.96,10.08,9.84,10.06,3130000.0,TIMS3
2021-03-18,10.03,10.06,9.86,9.98,4660000.0,TIMS3
2021-03-19,9.92,10.17,9.92,10.02,5980000.0,TIMS3
2021-03-22,10.02,10.04,9.85,9.94,2670000.0,TIMS3
2021-03-23,9.95,9.96,9.78,9.86,3060000.0,TIMS3
2021-03-24,9.87,9.87,9.54,9.54,5490000.0,TIMS3
2021-03-25,9.55,9.67,9.52,9.66,4280000.0,TIMS3
2021-03-26,9.52,9.82,9.51,9.72,4220000.0,TIMS3
2021-03-29,9.66,9.73,9.55,9.62,3420000.0,TIMS3
2021-03-30,9.55,9.77,9.54,9.75,2770000.0,TIMS3
2021-03-31,9.76,9.8,9.54,9.59,6090000.0,TIMS3
2021-04-01,9.68,9.68,9.39,9.44,6070000.0,TIMS3
2021-04-05,9.46,9.56,9.27,9.33,5520000.0,TIMS3
2021-04-06,9.33,9.39,9.22,9.27,4150000.0,TIMS3
2021-04-07,9.26,9.59,9.2,9.53,38380000.0,TIMS3
